X,nextGPA,left_school,nextGPA_nonorm,Z,Z_X,hsgrade_pct,totcredits_year1,age_at_entry,male,bpl_north_america,english,loc_campus1,loc_campus2,loc_campus3,clustervar
-2.319999933242798,2.4400001,0,3.9400001,0,0,91,4.5,19,1,1,1,1,0,0,2.3199999
-2.140000104904175,2.1600001,0,3.6600001,0,0,94,5.5,19,0,1,1,1,0,0,2.1400001
-.449999988079071,.5,0,2,0,0,65,5,18,1,1,1,1,0,0,.44999999
-1.940000057220459,1.96,0,3.46,0,0,76,4,19,0,1,1,1,0,0,1.9400001
-.6800000071525574,,1,,0,0,39,4,18,1,1,1,1,0,0,.68000001
-1.990000009536743,1.75,0,3.25,0,0,97,5,19,0,1,1,1,0,0,1.99
-2.279999971389771,2.2,0,3.7,0,0,72,4,19,0,1,1,0,1,0,2.28
-1.730000019073486,,0,,0,0,22,4.5,18,1,1,0,1,0,0,1.73
.7599999904632568,.73000002,0,2.23,1,.75999999,12,5,19,1,1,1,0,1,0,-.75999999
-1.730000019073486,1.5899999,0,3.0899999,0,0,70,5,19,0,1,1,0,1,0,1.73
-.8399999737739563,.40999997,0,1.91,0,0,17,4,18,1,1,1,1,0,0,.83999997
-.9800000190734863,1.3800001,0,2.8800001,0,0,51,5,18,0,1,1,1,0,0,.98000002
-2.160000085830688,2.3199999,0,3.8199999,0,0,97,5,19,0,1,1,1,0,0,2.1600001
-1.879999995231628,2.1799998,0,3.7799997,0,0,9,5,19,1,1,1,0,0,1,1.88
-.800000011920929,1.28,0,2.78,0,0,35,4.5,20,0,1,0,1,0,0,.80000001
-1.419999957084656,1.04,0,2.54,0,0,81,5,19,0,1,0,1,0,0,1.42
-1.230000019073486,1.1800001,0,2.6800001,0,0,41,5,19,1,0,0,1,0,0,1.23
-1.600000023841858,1.7099999,0,3.3099999,0,0,15,5,17,0,1,1,0,0,1,1.6
-1.279999971389771,1.72,0,3.22,0,0,5,5,20,1,1,1,1,0,0,1.28
-.800000011920929,.76999998,0,2.27,0,0,35,4.5,19,1,1,1,1,0,0,.80000001
-1.330000042915344,1.2499999,0,2.8499999,0,0,54,5,18,0,1,0,0,0,1,1.33
-.1800000071525574,-.42000008,0,1.1799999,0,0,27,4,19,0,1,1,0,0,1,.18000001
-2.299999952316284,.79999995,0,2.3,0,0,75,5,18,1,1,0,1,0,0,2.3
-1.539999961853027,1.8,0,3.3,0,0,66,4,18,0,1,1,0,1,0,1.54
-1.259999990463257,.69000006,0,2.1900001,0,0,35,5,18,0,1,1,1,0,0,1.26
-1.210000038146973,1.5,0,3,0,0,7,4,20,0,1,1,0,1,0,1.21
-1.840000033378601,1.96,0,3.46,0,0,86,5,19,0,1,1,1,0,0,1.84
.7200000286102295,-1.13,0,.47,1,.72000003,9,4,19,1,0,0,0,0,1,-.72000003
.8500000238418579,1.29,0,2.79,1,.85000002,14,4,19,1,1,0,1,0,0,-.85000002
-1.740000009536743,1.8399999,0,3.3399999,0,0,83,5,19,0,1,1,0,1,0,1.74
-.7699999809265137,1.1,0,2.7,0,0,43,4.5,19,1,1,0,0,0,1,.76999998
-1.5,1.24,0,2.74,0,0,70,5,19,1,1,1,1,0,0,1.5
-1.409999966621399,2.0999999,0,3.6999998,0,0,22,4.5,19,0,1,1,0,0,1,1.41
-1.399999976158142,.63000011,0,2.1300001,0,0,28,4.5,19,0,1,1,0,1,0,1.4
-2.160000085830688,1.29,0,2.79,0,0,95,5,18,1,1,1,1,0,0,2.1600001
-2.440000057220459,2.2,0,3.7,0,0,97,5,19,0,1,1,1,0,0,2.4400001
-1.220000028610229,,1,,0,0,83,5,18,0,1,1,1,0,0,1.22
-2.430000066757202,2.2,0,3.7,0,0,85,4,19,0,1,1,0,1,0,2.4300001
-.7200000286102295,.39999998,0,2,0,0,38,5,19,0,1,1,0,0,1,.72000003
-1.159999966621399,.79999995,0,2.3,0,0,50,5,19,1,1,1,1,0,0,1.16
-1.789999961853027,1.5,0,3,0,0,93,4,19,0,0,0,1,0,0,1.79
-2.339999914169312,2.1800001,0,3.6800001,0,0,70,4,18,0,0,0,0,1,0,2.3399999
-2.390000104904175,2,0,3.5,0,0,78,5,19,1,1,0,1,0,0,2.3900001
-1.289999961853027,.5,0,2,0,0,2,4,19,1,0,0,1,0,0,1.29
-.8999999761581421,.6400001,0,2.1400001,0,0,81,5,19,0,1,1,1,0,0,.89999998
-.4399999976158142,1.5,0,3,0,0,49,5,19,0,1,1,1,0,0,.44
-.6200000047683716,.8599999,0,2.3599999,0,0,12,4.5,19,0,1,1,0,1,0,.62
-2.200000047683716,2.2,0,3.7,0,0,65,4.5,18,1,1,1,1,0,0,2.2
-1.990000009536743,1.9999999,0,3.5999999,0,0,90,4.5,19,1,1,0,0,0,1,1.99
-.5,-.070000052,0,1.53,0,0,21,4,19,1,1,1,0,0,1,.5
.4199999868869781,-.60000002,0,1,1,.41999999,11,4,19,0,1,1,0,0,1,-.41999999
-1.879999995231628,.81999993,0,2.3199999,0,0,91,5,19,1,1,1,1,0,0,1.88
-.1800000071525574,.39999998,0,2,0,0,30,4.5,19,1,1,1,0,0,1,.18000001
-1.240000009536743,.44000006,0,1.9400001,0,0,75,5,18,0,1,1,1,0,0,1.24
.3899999856948853,-.5,0,1,1,.38999999,50,5.5,19,0,1,1,1,0,0,-.38999999
-.1800000071525574,-.20000005,0,1.4,0,0,66,4.5,19,1,1,0,0,0,1,.18000001
-1.600000023841858,1.6500001,0,3.1500001,0,0,60,5,18,0,1,1,1,0,0,1.6
-1.149999976158142,.8499999,0,2.3499999,0,0,4,5,20,1,1,1,0,1,0,1.15
-.75,.76999998,0,2.27,0,0,5,4,19,0,1,1,0,1,0,.75
-.7200000286102295,.57000005,0,2.1700001,0,0,18,5,18,0,1,1,0,0,1,.72000003
-.5400000214576721,.13,0,1.63,0,0,22,4.5,19,1,1,1,1,0,0,.54000002
-1.700000047683716,1.78,0,3.28,0,0,68,5,18,0,1,1,1,0,0,1.7
-2.259999990463257,2.4000001,0,4,0,0,100,5,18,0,1,1,0,0,1,2.26
-1.620000004768372,1.1800001,0,2.6800001,0,0,48,5,19,0,1,1,1,0,0,1.62
-.3799999952316284,-.029999971,0,1.47,0,0,35,5,19,1,1,1,1,0,0,.38
-1.860000014305115,1.9899999,0,3.5899999,0,0,82,4,19,0,1,1,0,0,1,1.86
-2.240000009536743,1.6,0,3.2,0,0,73,5,19,1,0,0,0,0,1,2.24
-1.259999990463257,1.3,0,2.8,0,0,68,5,19,0,1,0,1,0,0,1.26
.3400000035762787,.50999999,0,2.01,1,.34,46,5,19,1,1,0,0,1,0,-.34
-.4099999964237213,,0,,0,0,7,4.5,18,0,1,1,0,0,1,.41
-.3799999952316284,.83999991,0,2.3399999,0,0,12,5,19,0,1,0,0,1,0,.38
-1.820000052452087,2.0799999,0,3.5799999,0,0,91,5,19,1,1,1,1,0,0,1.8200001
-2.099999904632568,2.2,0,3.7,0,0,94,4,18,0,1,1,1,0,0,2.0999999
-1.179999947547913,-.29999995,0,1.2,0,0,43,5,19,1,1,1,1,0,0,1.1799999
-.0199999995529652,-.79000002,0,.70999998,0,0,49,5,19,0,0,1,1,0,0,.02
.2599999904632568,1.6999999,0,3.3,1,.25999999,16,4,19,0,1,1,0,0,1,-.25999999
-1.360000014305115,1.6500001,0,3.1500001,0,0,88,5,19,0,1,1,1,0,0,1.36
-1.679999947547913,1.25,0,2.75,0,0,81,5,19,1,1,1,1,0,0,1.6799999
-2.069999933242798,2.2,0,3.7,0,0,98,5,18,0,1,1,1,0,0,2.0699999
-.6800000071525574,,0,,0,0,60,5,19,0,1,1,0,0,1,.68000001
.1500000059604645,.79999995,0,2.3,1,.15000001,25,4,18,0,1,1,0,1,0,-.15000001
-.119999997317791,,0,,0,0,46,5,18,0,0,1,1,0,0,.12
-.3600000143051147,.69999993,0,2.3,0,0,26,4,19,0,1,1,0,0,1,.36000001
-.2700000107288361,.059999943,0,1.5599999,0,0,70,5,18,0,0,1,1,0,0,.27000001
-1.549999952316284,1.6999999,0,3.3,0,0,17,4,19,1,1,0,0,0,1,1.55
-1.220000028610229,1.5,0,3,0,0,54,4.5,19,0,1,0,0,1,0,1.22
.5799999833106995,,0,,1,.57999998,23,5,19,0,1,1,0,0,1,-.57999998
-1.200000047683716,.84000003,0,2.4400001,0,0,16,5,19,1,1,1,0,0,1,1.2
-1.679999947547913,1.1,0,2.7,0,0,48,5,19,1,1,1,0,0,1,1.6799999
.4199999868869781,1.7699999,0,3.3699999,1,.41999999,8,4,19,1,1,1,0,0,1,-.41999999
-1.360000014305115,.9000001,0,2.4000001,0,0,63,5,19,0,1,1,1,0,0,1.36
-1.700000047683716,1.1300001,0,2.6300001,0,0,31,5,19,0,1,1,1,0,0,1.7
-2.359999895095825,2.4100001,0,3.9100001,0,0,97,5,18,1,1,1,1,0,0,2.3599999
-2.039999961853027,2.21,0,3.71,0,0,87,5,18,1,1,1,1,0,0,2.04
-1.129999995231628,2,0,3.5,0,0,55,4,18,1,1,0,1,0,0,1.13
.4199999868869781,.42999995,0,1.9299999,1,.41999999,15,4,18,1,1,1,0,1,0,-.41999999
-1.740000009536743,.9000001,0,2.4000001,0,0,89,4.5,19,1,1,0,1,0,0,1.74
-1.480000019073486,1.72,0,3.22,0,0,53,5,19,1,1,1,1,0,0,1.48
-1.440000057220459,1.1,0,2.7,0,0,61,5,18,0,1,1,0,0,1,1.4400001
-1.580000042915344,.8599999,0,2.3599999,0,0,57,4,19,0,1,1,1,0,0,1.58
-.0599999986588955,.55999994,0,2.0599999,0,0,3,5,19,1,1,1,0,1,0,.059999999
-1.139999985694885,.79999995,0,2.3,0,0,22,4,19,1,1,0,1,0,0,1.14
.2599999904632568,-.39999998,0,1.1,1,.25999999,84,5,19,0,1,1,1,0,0,-.25999999
-.1000000014901161,.10000002,0,1.7,0,0,19,4,19,1,1,1,0,0,1,.1
-1.879999995231628,1.6500001,0,3.1500001,0,0,82,5,19,0,1,1,1,0,0,1.88
-.8199999928474426,,0,,0,0,88,5,18,0,1,1,1,0,0,.81999999
-.9800000190734863,.40999997,0,1.91,0,0,28,4.5,18,0,1,1,1,0,0,.98000002
-1.360000014305115,2.2,0,3.7,0,0,69,5,19,0,1,1,1,0,0,1.36
-.4600000083446503,.79999995,0,2.3,0,0,13,4,18,0,1,1,1,0,0,.46000001
-1.509999990463257,1.08,0,2.6800001,0,0,25,5,18,0,0,0,0,0,1,1.51
-1,.57999992,0,2.0799999,0,0,35,4,19,0,0,0,1,0,0,1
-1.259999990463257,1.5,0,3,0,0,17,4.5,19,0,0,0,0,1,0,1.26
-1.440000057220459,.39999998,0,1.9,0,0,78,5,18,0,1,0,1,0,0,1.4400001
-.5,.20000005,0,1.7,0,0,85,5,18,1,1,1,1,0,0,.5
-1.860000014305115,1.8499999,0,3.3499999,0,0,93,5,19,0,1,1,1,0,0,1.86
-.9800000190734863,1.39,0,2.99,0,0,48,4.5,19,1,1,1,0,0,1,.98000002
-.8999999761581421,.69999993,0,2.3,0,0,68,3.5,18,0,1,1,0,0,1,.89999998
.0500000007450581,2.2,0,3.7,1,.050000001,74,5,19,1,1,0,1,0,0,-.050000001
-.2099999934434891,.20000005,0,1.7,0,0,6,4,19,0,1,1,0,1,0,.20999999
-.8399999737739563,1,0,2.5,0,0,43,5,19,1,1,0,1,0,0,.83999997
-1.179999947547913,.86999989,0,2.3699999,0,0,46,5,18,1,1,1,1,0,0,1.1799999
-1.980000019073486,1.8,0,3.3,0,0,65,5,18,1,1,1,1,0,0,1.98
.8199999928474426,1.5,0,3,1,.81999999,27,4,20,1,1,1,0,1,0,-.81999999
.8199999928474426,-1.1700001,0,.42999992,1,.81999999,16,3,19,1,1,1,0,0,1,-.81999999
-.7300000190734863,-.32000005,0,1.1799999,0,0,8,4,19,0,0,0,1,0,0,.73000002
-.0299999993294477,.7299999,0,2.3299999,0,0,41,4.5,18,1,1,1,0,0,1,.029999999
-.8999999761581421,1.5,0,3,0,0,15,4,19,0,1,1,0,1,0,.89999998
-.6100000143051147,-.80000001,0,.69999999,0,0,54,4.5,18,1,1,0,1,0,0,.61000001
-1.850000023841858,2.0999999,0,3.6999998,0,0,71,5,19,0,1,1,0,0,1,1.85
-.550000011920929,.56000006,0,2.1600001,0,0,28,5,19,0,1,1,0,0,1,.55000001
1.070000052452087,,0,,1,1.0700001,8,4,20,0,1,0,1,0,0,-1.0700001
-.6000000238418579,1.8,0,3.3,0,0,35,4,19,1,1,1,1,0,0,.60000002
